ID,NOMBRE,MARCA,PRECIO,CARACTERISTICAS
1,Alimento para perros,Pedigree,$14.08,Sabor delicioso~Nutricion equilibrada~Contiene vitaminas y minerales
2,Alimento para gatos,Purina ONE,$10.83,Alta calidad~Proteinas de primera~Promueve un pelaje saludable
3,Juguete para perros,Kong,$16.8,Duradero~Ideal para masticadores agresivos
4,Arenero para gatos,Arm & Hammer,$21.67,Control de olores~Facil de limpiar
5,Correa para perros,Flexi,$27.09,Extensible~Mango ergonomico~Cinta reflectante
6,Cama para perros,Aspen Pet,$32.51,Material suave~Lavable a maquina~Comoda y acogedora
7,Juguete para gatos,Frolicat,$21.67,Juguete interactivo~Movimientos impredecibles~Mantiene a los gatos activos
8,Acuario,Tetra,$43.35,10 galones~Filtro incorporado~Ideal para peces tropicales
9,Alimento para perros,Pro Plan,$20.05,Ingredientes naturales~Alta digestibilidad~Para todas las etapas de vida
10,Correa para perros,Halti,$16.25,Control de tirones~Ajustable~Comoda para el perro y el dueño
11,Alimento para gatos,Science Diet,$18.42,Formula equilibrada~Control de peso~Promueve la salud urinaria
12,Cama para gatos,PetFusion,$37.93,Diseño elegante~Material duradero~Facil de limpiar
13,Juguete para perros,Nylabone,$10.83,Resistente a la masticacion~Ayuda a la higiene dental
14,Arenero para gatos,Purina Tidy Cats,$14.08,Sistema todo en uno~Bandeja removible~Facil de mantener
15,Alimento para perros,Blue Buffalo,$23.84,Ingredientes naturales~Sin granos~Para razas pequeñas
16,Transportadora para gatos,Sherpa,$35.76,Aprobada por aerolineas~Comoda y segura~Ventilacion adecuada
17,Juguete para gatos,Cat Dancer,$6.49,Juguete interactivo~Atrae la atencion de los gatos~Horas de diversion
18,Alimento para perros,Iams,$15.72,Control de peso~Proteinas de calidad~Sabor delicioso
19,Arenero para gatos,Litter Genie,$21.67,Facil eliminacion de desechos~Control de olores~Practico y conveniente
20,Correa para perros,Ruffwear,$30.34,Resistente al agua~Ideal para actividades al aire libre~Comoda para el perro y el dueño
21,Cama para perros,Kuranda,$75.87,Elevada~Duradera~Facil de limpiar
22,Alimento para gatos,Wellness,$24.39,Ingredientes naturales~Alta calidad~Promueve la salud digestiva~Sin granos
23,Juguete para perros,Chuckit!,$9.75,Resistente~Ideal para juegos de lanzamiento
24,Corral para mascotas,MidWest Homes for Pets,$43.35,Plegable~Facil de transportar~Espacioso
25,Alimento para perros,Nutro,$19.5,Ingredientes de calidad~Sin conservantes artificiales~Salud digestiva
26,Rascador para gatos,GoPetClub,$54.19,area de juego y descanso~Poste para rascar~Incluye juguetes colgantes
27,Juguete interactivo para perros,Kong Wobbler,$16.25,Dispensador de alimentos~Mantiene a los perros entretenidos
28,Comedero para mascotas,Bergan,$8.66,Antideslizante~Facil de limpiar~Duradero
29,Alimento para gatos,Royal Canin,$27.09,Formula especifica para razas~Salud digestiva~Pelo brillante
30,Collar para perros,Coastal,$10.83,Ajustable~Cierre de seguridad~Diseño atractivo
31,Arnes para perros,Rabbitgoo,$21.67,Ajustable~Comodo~Control de tirones
32,Alimento para perros,Pedigree,$21.14,Ingredientes naturales~Sin granos~Salud optima
33,Juguete para gatos,Temperament Pet,$7.58,Rellenable con catnip~Estimula el instinto de caza
34,Bebedero para mascotas,Gravity Waterer,$14.08,Capacidad de 1 galon~Mantiene el agua fresca
35,Peine para perros,Safari,$10.83,Elimina nudos y pelo suelto~Ideal para perros de pelo largo
36,Juguete para perros,Outward Hound,$13.0,Texturas variadas~Estimula el juego activo
37,Cepillo para gatos,Hertzko,$8.66,Suave y seguro~Elimina el pelo muerto~Promueve un pelaje saludable
38,Arena para gatos,Wellness,$16.25,Ecologica~Sin polvo~Control de olores eficiente
39,Ropa para perros,Pet Life,$21.67,Diseño moderno~Comoda y ajustable~Ideal para climas frios
40,Alimento para peces,Tetra,$6.49,Variedad de sabores~Alta calidad nutricional~Para peces tropicales
41,Transportadora para perros,AmazonBasics,$27.09,Aprobada por aerolineas~Puerta con cierre seguro~Ventilacion adecuada
42,Juguete para gatos,Bergan Turbo Scratcher,$16.25,Incluye bola y rascador~Estimula el juego y el rascado
43,Cepillo para perros,Pedigree,$19.5,Remueve el pelo suelto~Facil de limpiar~Para pelo corto o largo
44,Juguete para perros,Nylabone Dura,$10.83,Resistente a la masticacion~Promueve la salud dental~Diversion duradera
45,Alimento para perros,Merrick,$26.01,Ingredientes de calidad~Sin granos~Promueve una digestion saludable
46,Correa para perros,Max and Neo,$18.42,Reflectante~Mango acolchado~Resistente y duradera
47,Cama para gatos,Frisco,$24.92,Material suave y calido~Diseño compacto~Ideal para espacios pequeños
48,Juguete para perros,West Paw Design,$15.17,Resistente~Libre de BPA~Ideal para juegos de buscar
49,Arenero para gatos,Petmate,$18.42,Facil acceso~Borde alto~Facil de limpiar
50,Alimento para perros,Wellness CORE,$32.51,Alta proteina~Ingredientes naturales~Sin granos~Salud digestiva
